date	customer	transaction_count	units	sales	discount
2019-01-01	1	2	3.3470809996501854	7.1537010025187175	0.0
2019-01-02	1	1	1.1235502853900912	1.3934749055316091	0.0
2019-01-03	1	1	6.391739486711486	24.007161145080985	0.0
2019-01-05	1	3	9.661434081281193	63.85612986234257	0.0
2019-01-07	1	1	3.10894216000609	7.413351000027652	0.0
2019-01-09	1	2	1.9681882997843705	5.008333486886992	0.0
2019-01-10	1	3	6.0066010072463945	34.056811826994036	0.0
2019-01-11	1	2	5.243169653436961	14.554810566944536	0.0
2019-01-12	1	2	7.211418193697481	30.20456362122275	0.0
2019-01-13	1	3	13.006043106615884	46.04721726557611	0.0
2019-01-14	1	1	1.1529991449689792	1.8492154542729176	0.0
2019-01-15	1	2	2.0727194601461933	2.9582660638309664	0.0
2019-01-16	1	2	9.138147121910917	24.749179992544946	0.0
2019-01-18	1	1	20.907886685195333	123.03018649323229	0.0
2019-01-21	1	1	1.077363843527022	1.443086686028603	0.0
2019-01-22	1	2	1.9647844646091852	2.6033454796730298	0.0
2019-01-23	1	2	1.9788548250104967	7.184765447474412	0.0
2019-01-24	1	1	0.9170626295920584	2.0384881855805688	0.0
2019-01-26	1	3	13.52964975888956	46.70077788044088	0.0
2019-01-27	1	2	2.9701380707801075	10.798078300532387	0.0
2019-01-28	1	1	0.9999361885667124	1.4725266553159138	0.0
2019-01-30	1	1	0.901774023651196	3.5575848479494487	0.0
2019-01-31	1	2	4.512564337484336	15.289480652138801	0.0
2019-02-03	1	1	1.0817948821378098	1.4385351732351244	0.0
2019-02-04	1	2	6.972875353088008	17.128666095686345	1.0
2019-02-05	1	2	1.859950117491028	3.20882276244779	0.0
2019-02-06	1	1	1.8849450010525328	19.585846218304226	0.0
2019-02-11	1	1	2.2761606180004637	20.581071914944378	0.0
2019-02-12	1	1	1.9186839102165985	6.014203288716122	0.0
2019-02-14	1	2	11.669447446401193	30.01367821926739	0.0
2019-02-16	1	2	12.548789575207767	34.422838470588886	0.0
2019-02-17	1	2	3.1558506586892827	18.6303616847372	0.0
2019-02-18	1	1	3.4025063683318066	9.601013855820113	0.0
2019-02-20	1	1	8.914891194316253	28.161089744976092	0.0
2019-02-21	1	2	4.557395008957462	43.35883583819784	0.0
2019-02-28	1	1	0.9420203146100344	2.409931491936302	0.0
2019-03-02	1	1	3.9008274566181065	14.721737939971245	0.0
2019-03-03	1	3	9.103659413487566	33.26952168105008	0.0
2019-03-04	1	1	1.2150824547214427	1.6937602757618244	0.0
2019-03-05	1	2	6.544926315731209	15.564236201234634	0.0
